id,"text",timeStamp,location,followers,friends,statuses
39308,"RT @Dove: #BeautyIs being strong and brave and happy with yourself. #Sundance #Selfie",51,51,99,153,419
38817,"#cheers to the #selfiecam http://t.co/7OHc4ez5uK",52,10,92,147,2277
38679,"Off to love the birthday girl @_Ashiebabie_ 💕😊 #selfie #bowler #fashionblogger #birthday http://t.co/reY7mrhIGV",53,53,193,166,2470
7248,"RT @CelestaDeastis: #Selfie http://t.co/NdaB7TYHlA",54,10,302,204,3896
39295,"Damn, #selfieolympics champion http://t.co/lPQYez53zb",55,7,163,230,776
38737,"Coordination of the body, mind, and spirit🙏 #contrology #pilates #health #fitness #selfieeeee… http://t.co/tayVzfgG10",56,56,117,418,748
37834,"Congrats to our friends @TheChainsmokers on their new song #SELFIE, you may see some guys you recognize in the vid  - http://t.co/QOjDiQ0vXK",57,1,20741,59,1663
38979,"#selfiesunday http://t.co/TgHkok4FHt",58,7,113,215,733
38668,"Goodmorning and a Happy Valentine's Day to ya from the dumpling girl. #workgrind #coffee #selfie @ The… http://t.co/C5bLP6EAMe",59,10,56,62,3171
37872,"RT @TheChainsmokers: 1,000,000 strong :) Thank You! #SELFIE http://t.co/PmzudyJhq6",60,60,295,177,1901
37832,"Tired of only using your face in #selfies? @FallonTonight's bringing full-bodied shots mainstream: http://t.co/GHuhKJR5D8 #22DaysofInvention",61,61,253228,15513,76137
37892,"PULLMAN #SOLDOUT #selfie http://t.co/oKS3FlzvQl",62,62,104336,546,16794
37866,"#selfies are the culprit behind a massive out break of lice! LOL http://t.co/A7PG0CjVIa",63,53,617,521,1385
37848,"RT @WillieLit: #selfies are the culprit behind a massive out break of lice! LOL http://t.co/A7PG0CjVIa",64,2,13531,40,538
38196,"RT @SteveLeVineEnt: But first..let @sleprez take a #SELFIE! Tix to @TheChainsmokers at http://t.co/X46batlLQT http://t.co/LMxToaE3HZ",65,65,2603,1649,2854
39773,"RT @CustardComms: Why photographs work on @twitter http://t.co/VDAD3wcz4Y A #selfie, a #foodie snap - images create #socialmedia chatter at…",66,60,1298,1208,1373
39414,"I think it's time I properly embraced #selfie #sundies and posted a pic of my booty. Probably the best… http://t.co/wsz8fb3vN0",67,67,54,96,2578
39615,"I got chu, girl. Best #selfie in history. “@TheEllenShow: If only Bradley's arm was longer. Best photo ever. #oscars http://t.co/HebV0sn6ec”",68,68,644,1142,1446
37932,"Was so awesome!! 😄 RT @dashberlin: Hello everybody! 😃 #selfie #trancefamily #edmfamily #funtimes #b2b #ASOT650AR  http://t.co/3d4OnLGydt",69,69,98589,808,14153
6984,"RT @erikasentz: Celebrity #Selfie Combined Net Worth of Approximately: $1,045,500,000",70,70,1297,1881,25387
38494,"RT @andy_murray: With @djokernole playing at Madison square garden #selfie http://t.co/uiGGimu5XS",71,53,118,320,2613
39346,"Good morning lets have a great day. #selfie #cuteasfuck #mixbreed #filipino #chamorro #africanamerican… http://t.co/fo6TGTIptN",72,72,273,598,7315
37957,"@ZaZoobi @TheChainsmokers Well that;s on #SelfieSaturday. That's a whole other topic.",73,37,117593,329,5121
37937,"#selfie http://t.co/FojtdM5Azj",74,10,364856,352,8064
37935,"WE ARE NOT JUST THE PEOPLE IN THE #SELFIE VIDEO. We're more than that guys goshhhh lol",75,75,28618,321,8353
37939," @aanaastaasiaa_t: #tbt with my #mcm @whoszed sorry bri for the crop 😉 #real #notfake #selfieswithhooks http://t.co/EK65bnQjKF lol",76,76,166432,463,7813
20800,"I like beer... Infected mushroom beer #alexxadam #selfie #DinoNuggetGang #edm #housemusic #bigroom… http://t.co/FXbX6OrBUa",77,0,489,1145,1325
3718,"RT @justinbieber: Check out @dankanter’s #selfie on @shots http://t.co/69ao0FLHDa http://t.co/lbu6knTpZt",78,78,604,696,764
39649,"Blondes have more funn😜😉✌️#selfie #justme #blondie #blondehairdontcare #teamtatted #piccollage #kisses… http://t.co/msSzlTi1Zp",79,79,162,144,8936
38758,"#selfie #70shair #oppsbloodoncurtain #style #loveuestherku http://t.co/0R3KWvyGzT",80,26,190,201,6261
6716,"#selfie just came on at work and I couldn't contain myself 💃 @hockeyboy876",81,10,173,183,3968
39011,"#selfie http://t.co/d8cE5SBCeu",82,82,568,406,8047
8248,"Currently listening to the  Selfie Song ... It's... Um.. Interesting. Time for bed ✌️😴 #selfiesong",83,10,187,55,630
6497,"RT @steveaoki: Let me take a #selfie! Houston brought their A-Game tonight! https://t.co/DCujb2YWfG",84,84,39,103,2079
12145,"Family time! @krisgod1 @motdieze #hapiness #selfie #cousin #bro #lille http://t.co/9nnWxFl4z7",85,85,8784,156,1996
37925,"#Super #selfie http://t.co/yKfGLWJYQ3",86,7,3671,304,4014
37916,"RT @chinoherrera98: #selfie with @MikaelWeermets http://t.co/tNvwVC9biH",87,87,20144,341,17909
441,"Some people love them &amp; some people hate them. #selfie lovers, what is it that you're #addicted to? We're Pulsing on it now! #selfiequeen",88,60,1003,1918,2976
37860,"RT @LaurenBohn: Adroit selfie skills on display at AKP rally in Istanbul (If only she could tweet it) #SelfieOlympics #Turkey http://t.co/o…",89,89,9009,835,23818
37948,"RT @revilopark: At @inthemix dinner &amp; @jason_bentley ripped my heart out saying  No, Oliver, I've not heard #SELFIE  @TheChainsmokers in an…",90,7,27961,192,3184
37895,"RT @garethemery: #selfie with TRANCE legend @djcarnage and @DVBBS whilst @nervomusic rock it at Ushuaia! #TranceFamily #TrapFamily http://t…",91,10,137392,1463,73784
37917,"RT @francofaranda26: @YELLOWCLAW #selfie http://t.co/ez9J0kT87N",92,92,49157,513,12470
37824,"RT @Heineken: Ruud's making the #SelfiewithSkill look easy. #ShareTheSofa #rmabvb #ucl https://t.co/feq0SeVsH7",93,10,5504266,492,17718
39149,"#SELFIE (Official Music Video) - The Chainsmokers http://t.co/hTRPylJSte",94,10,65,389,771
38277,"but first let #me take a #selfie lookin boy... http://t.co/ijlWPsPXmp",95,95,19306,18281,4590
38395,"Obligatory @thechainsmokers #selfie! #teamkittykoalition teamkittykoalition #gogo #gogodancers… http://t.co/iO5fErcWUg",96,96,802,1871,3152
39310,"I was gonna do touristy shit, but first let me take a selfie with @ladygaga @baby_alley #selfie #ladygaga http://t.co/DcVwH9w454",97,97,109,180,4034
38508,"#selfiesunday http://t.co/rd0bmHCL0T",98,98,2336,1486,8300
37913,"Haha 😎 RT @drearivera: #SELFIE moment with @djalvaro last night in LA! http://t.co/cF90tHbFcZ",99,99,84433,323,18073
4576,"It's #selfieTuesday right? http://t.co/frlNQjEkwW",100,100,172,317,12928
39094,"RT @HuffPostTech: But first, let me take a #selfie http://t.co/NwuF58niW4",101,10,423,1996,1048
39526,"Photo: Day 2 ready ! Sun soaking🌵💃 #ootd #coachella #unif #streetstyle #selfie (at Coachella Music &amp; Arts... http://t.co/zOtgtbldCa",102,102,147,128,10594
38917,"Super #Selfie yacht party nite! http://t.co/hyfLXUnFKI",103,103,374,655,2725
2455,"#SELFIE http://t.co/b38jRPTyQs",104,10,56,154,92
1,"Don't forget to take your #selfie tonight at @CreateNightclub with the @TheChainsmokers! Tix: http://t.co/aMQ9JOLo3O http://t.co/RpeWzMNO8y",105,1,168056,7902,7081
37897,"@dances cameras ready prepare 2 #selfie",106,106,20563,1727,49191
4098,"RT @spurs: Can't wait to thank our Spurs Family at Fan Appreciation Night. RT if you're excited for playoffs! #SpursFAN #selfie http://t.co…",107,107,356,332,8684
38393,"Joey fucking diaz!!! @madflavor #UFConFOX11 #orlando #selfie #funniestmotherfuckerever #catsandcocaine http://t.co/D2FsdBI32U",108,108,220,329,1968
37806,"RT @UNICEF_Lebanon: During the Janana Spring Mobile Festival,supported by @UNICEF,a girl with disability takes a #selfie. #Thisisability ht…",109,109,3017628,25119,13558
37886,"@That_Whiteboy but first let me take a #selfie ;) we have giveaways almost daily on our Facebook page. Suburbia giveaway going on right NOW!",110,110,196793,29191,21094
4807,"RT @MartinGarrix: WOOOHOOOO thank guys so much @slamfm that was fucking insane!! crazy energy!! #feestjuh #selfie http://t.co/kfwGbxmGXv",111,111,30,194,7
39584,"@Wharton faculty take a #selfie celebrating #1 ranking #WhartonGrad http://t.co/2tnvsSxAvn",112,112,7699,2739,5212
38488,"Crooked face, crooked selfie. 😝😏🙎 #selfiemonday #isthatevenathing #malikmonday #crookedsmile… http://t.co/LAxKVOhbk0",113,113,134,229,5463
37931,"420 Fest Weed Nip Selfie #blameitonohdagyo #werenotthatdrunk #selfie #pasties #weedpasties #420… http://t.co/LaR0DZ5HBA",114,114,4097,471,23445
38287,"Selfie of the year!!! #selfie #Selfiemates http://t.co/Z3JEKbQ1CS",115,115,761,1953,4282
10367,"La raja! &lt;3 #quepostermasproductivo #selfiesxmil #casinoapañador http://t.co/7fDqiCTFle",116,116,39,177,105
38539,"RT @HELL_HUESOS: ¿Saben quien no se va poder tomar una #Selfie con su mamá? ¡EXACTO! http://t.co/6YXFZ3CWHS",117,117,356,506,21710
2584,"#selfie with @jaclaurita she was amazing and so nice! @CandidCandace @Watch312 #rescueourangels http://t.co/nqQAE8CWPq",118,10,114,198,482
12921,"#selfieeeee ;) http://t.co/u60ovKf8IM",119,119,190,1442,764
39287,"Floppy hats!! Hawaii reunion with my girl mkly 15 yrs strong ♥♥ #fancy #fashion #selfie #puns #alumni http://t.co/yZW6KM4EN8",120,1,452,523,3038
37718,"RT @mikkelsvane: From the NYSE bell ringing podium. #selfie #selfiestick cc @RoystonTay http://t.co/0IrbEUEGwR",121,121,29402,2095,2116
39442,"Going ham w @JenSelter @StephSelter #selfie http://t.co/qv4ILFylYI",122,122,1084,1386,4302
37796,"RT @OfficialEl92: Se lo fai tu.....@KAKA 😜 #selfie #CasaMilan #weareacmilan 🔴⚫️ @acmilan http://t.co/V71KXDrlcw",123,10,2142756,42,29663
39141,"RT @GeorgieLeahy: How dare you #photobomb my #selfie @_TerribleFolly http://t.co/spzhWC5Iyl",124,7,748,1999,3311
39531,"Finding Saturday night selfies 🙈 #selfie #TheMorningAfter http://t.co/BdG6GcSCZC",125,125,443,1792,1813
38812,"selfies with the little ones.  #uganda #kampala #kids #selfie #africa #camera #photo #happy #adventure http://t.co/6xmu6PhjxF",126,126,239,115,4883
4170,"En route to the booboo's graduation but first lemme take a selfie #selfieswithbean #hideyokids… http://t.co/KDmIlsTM5Z",127,10,117,194,6078
39211,"RT @RuPaul: If U can’t love your #selfie, how in da hell U gonna love somebody elsie http://t.co/3u1VKIoft9",128,53,576,988,7043
39252,"Lawl RT @knifepartyinc: Here's what really happened... #SELFIE https://t.co/eLqymWUEVi",129,10,157,315,7027
39763,"Photo: Story of my life 😩 lmao #barbie #selfie #triedit http://t.co/pYWV5IqtC9",130,130,296,693,9930
38608,"But first, let me take a selfie #Selfies #Selfie #Cinema #Manchester http://t.co/w5K7UVDHo5",131,131,194,357,4325
11444,"Dagens promenad och selfie. Varmt och tur att jag hade med mig extra vatten i min Camelbak. #selfie #camelbak #st... http://t.co/wUkXfuj7Gb",132,132,502,196,10549
38114,"Wait #letmetakea #selfie #shore #mommytime http://t.co/5CcxHEVcss",133,133,286,638,1174
39031,"RT @Rawkixx: @VMODA @valkolton it’s no #SELFIE … But check out @HARDWELL signing my custom shield! #LIVEINVMODA #BIGFAN http://t.co/bb7pKKo…",134,134,9738,620,2399
