id,timeStamp,location,followers,friends,ntweets
38158,569,435,84,158,4501
38069,500,492,1058,2000,6207
37765,9,782,132,16,19
37681,459,776,1257,496,2794
39824,13,150,2256,734,7529
39446,369,492,1680,1037,3981
38563,2,445,74,169,335
38628,419,614,651,940,4461
39510,311,280,276,564,841
38381,15,250,80,754,2020
39275,466,632,55,113,377
39444,19,487,408,693,253
38174,270,892,6494,512,7201
39559,509,153,716,1050,16072
38263,11,1044,1375,1992,35
38111,549,0,22,125,74
38189,529,745,841,278,21063
39110,504,748,1863,1946,12016
38295,514,967,349,0,2492
39007,411,0,72,328,279
37891,437,735,222,489,406
38015,550,249,24528,570,14951
39471,540,595,982,2000,4023
38857,20,122,5,22,21
38073,595,855,1074782,87,4373
39614,584,782,39,89,5
39219,540,458,629,322,809
38508,578,932,2336,1486,8300
39211,261,617,576,988,7043
38795,529,344,239,220,6510
39032,6,0,67,199,40
38023,502,135,408230,3061,13621
39273,0,95,1288,1876,1081
38110,10,932,97,148,93
38856,456,487,169,163,149
37930,496,487,249,592,1144
39272,8,0,8,40,553
38154,10,817,84,290,261
39248,282,492,198,175,1184
39218,568,69,194,488,1093
37925,305,487,3671,304,4014
38187,264,980,308,536,11394
38461,363,523,222,504,1844
38080,479,0,1679978,722,8152
38380,518,474,313,32,904
38456,447,0,11545,544,13600
38650,350,0,112667,221,6890
38185,538,822,250,1997,365
38397,451,597,276,334,2076
38076,293,0,560992,1482,12302
39217,321,1007,80,221,1210
39822,573,1043,112,185,314
38850,517,597,5732,6374,4025
37746,258,782,315,42,42
37689,583,207,1225,347,2129
38842,340,655,517,432,4721
38262,482,0,30,95,93
39718,599,679,673,503,6331
39509,380,383,122,249,1488
39089,328,658,112,232,241
38307,480,498,421,428,23122
38923,502,898,432,575,3824
39403,560,283,5125,915,867
38244,415,457,3059,2964,3375
38109,380,493,166,571,4204
38184,256,894,712,851,4776
39561,525,0,223,331,2649
39821,459,936,463,356,445
37742,341,673,496,154,650
38980,329,905,145,518,1964
37959,426,619,54347,18686,9799
38108,569,176,39,254,205
38793,585,882,58693,296,20860
39061,5,872,568,1940,3858
39088,3,648,68,155,374
39037,297,487,107,276,2917
38858,7,500,111,200,11861
38921,427,879,112,177,9534
38379,439,211,634,632,3212
37764,475,782,679,418,1616
38013,303,1081,288385,780,18376
38151,265,699,1256,906,9110
37965,308,318,131853,59427,22944
39478,305,488,412,344,3681
39717,8,0,26,28,32
39202,530,163,434,1113,35
39443,432,597,482,886,7641
39307,295,0,192,498,871
38031,443,236,554766,2836,32338
39387,15,486,129,391,567
38085,555,878,369946,5134,15154
39195,376,0,42,126,791
39365,288,561,126,720,173
39508,354,235,46652,260,21727
39719,19,1066,182,172,257
38679,532,617,193,166,2470
39476,541,1045,4720,3156,30868
39507,17,239,257,459,667
37717,533,69,700,581,19321
37876,3,847,194,130,85
37860,495,597,9009,835,23818
37948,422,487,27961,192,3184
39031,484,19,9738,620,2399
39084,591,492,733,1991,948
39721,379,111,1035,1304,5458
39194,443,335,9024,9635,5790
37954,562,393,167028,500,17090
37748,278,777,1650,280,1803
38909,560,832,283420,237,1828
38107,425,71,7648,6439,18746
39162,591,785,339,443,12198
38580,18,0,9,20,8
38378,257,323,227,473,805
39314,269,850,386,476,4803
39354,446,0,239,356,513
39506,4,1132,153,291,167
38825,390,721,1278,1164,56010
